Year_Week,Donor_Segment,Party,Total_Donation
2023-W23,Large,REP,433864
2023-W23,Medium,DEM,184902
2023-W23,Medium,REP,143810
2023-W23,Small,DEM,95395
2023-W23,Small,REP,83489
2023-W24,Large,DEM,948591
2023-W24,Large,REP,600339
2023-W24,Medium,DEM,208169
2023-W24,Medium,REP,173053
2023-W24,Small,DEM,106083
2023-W24,Small,REP,107724
2023-W25,Large,DEM,1144588
2023-W25,Large,REP,556239
2023-W25,Medium,DEM,278799
2023-W25,Medium,REP,172814
2023-W25,Small,DEM,154530
2023-W25,Small,REP,75406
2023-W26,Large,DEM,2637417
2023-W26,Large,REP,937856
2023-W26,Medium,DEM,559017
2023-W26,Medium,REP,401114
2023-W26,Small,DEM,241786
2023-W26,Small,REP,506649
2023-W27,Large,DEM,415979
2023-W27,Large,REP,286707
2023-W27,Medium,DEM,141379
2023-W27,Medium,REP,78304
2023-W27,Small,DEM,71986
2023-W27,Small,REP,70532
2023-W28,Large,DEM,591962
2023-W28,Large,REP,453864
2023-W28,Medium,DEM,174362
2023-W28,Medium,REP,150189
2023-W28,Small,DEM,106992
2023-W28,Small,REP,109750
2023-W29,Large,DEM,891842
2023-W29,Large,REP,485460
2023-W29,Medium,DEM,184874
2023-W29,Medium,REP,115277
2023-W29,Small,DEM,122446
2023-W29,Small,REP,97527
2023-W30,Large,DEM,1046005
2023-W30,Large,REP,389941
2023-W30,Medium,DEM,274211
2023-W30,Medium,REP,157478
2023-W30,Small,DEM,121195
2023-W30,Small,REP,98653
2023-W31,Large,DEM,738895
2023-W31,Large,REP,466451
2023-W31,Medium,DEM,218296
2023-W31,Medium,REP,130896
2023-W31,Small,DEM,103991
2023-W31,Small,REP,106144
2023-W32,Large,DEM,699120
2023-W32,Large,REP,449230
2023-W32,Medium,DEM,196925
2023-W32,Medium,REP,178895
2023-W32,Small,DEM,82853
2023-W32,Small,REP,106074
2023-W33,Large,DEM,702713
2023-W33,Large,REP,505929
2023-W33,Medium,DEM,161169
2023-W33,Medium,REP,173397
2023-W33,Small,DEM,95941
2023-W33,Small,REP,116244
2023-W34,Large,DEM,695194
2023-W34,Large,REP,494665
2023-W34,Medium,DEM,191667
2023-W34,Medium,REP,169458
2023-W34,Small,DEM,129475
2023-W34,Small,REP,153378
2023-W35,Large,DEM,775657
2023-W35,Large,REP,443466
2023-W35,Medium,DEM,214074
2023-W35,Medium,REP,146406
2023-W35,Small,DEM,99120
2023-W35,Small,REP,109808
2023-W36,Large,DEM,742537
2023-W36,Large,REP,664502
2023-W36,Medium,DEM,186247
2023-W36,Medium,REP,117697
2023-W36,Small,DEM,99538
2023-W36,Small,REP,74542
2023-W37,Large,DEM,909358
2023-W37,Large,REP,485384
2023-W37,Medium,DEM,231001
2023-W37,Medium,REP,156297
2023-W37,Small,DEM,148578
2023-W37,Small,REP,137478
2023-W38,Large,DEM,1207563
2023-W38,Large,REP,680114
2023-W38,Medium,DEM,323515
2023-W38,Medium,REP,192275
2023-W38,Small,DEM,158798
2023-W38,Small,REP,126272
2023-W39,Large,DEM,2765472
2023-W39,Large,REP,1435043
2023-W39,Medium,DEM,629839
2023-W39,Medium,REP,323209
2023-W39,Small,DEM,306712
2023-W39,Small,REP,252539
2023-W40,Large,DEM,774480
2023-W40,Large,REP,326745
2023-W40,Medium,DEM,209099
2023-W40,Medium,REP,133798
2023-W40,Small,DEM,115745
2023-W40,Small,REP,95090
2023-W41,Large,DEM,868923
2023-W41,Large,REP,398653
2023-W41,Medium,DEM,198647
2023-W41,Medium,REP,198163
2023-W41,Small,DEM,131708
2023-W41,Small,REP,129133
2023-W42,Large,DEM,819435
2023-W42,Large,REP,778502
2023-W42,Medium,DEM,272451
2023-W42,Medium,REP,171831
2023-W42,Small,DEM,129255
2023-W42,Small,REP,136824
2023-W43,Large,DEM,907928
2023-W43,Large,REP,535266
2023-W43,Medium,DEM,269204
2023-W43,Medium,REP,161155
2023-W43,Small,DEM,147677
2023-W43,Small,REP,125381
2023-W44,Large,DEM,1118496
2023-W44,Large,REP,608698
2023-W44,Medium,DEM,304149
2023-W44,Medium,REP,181191
2023-W44,Small,DEM,167710
2023-W44,Small,REP,149095
2023-W45,Large,DEM,1232571
2023-W45,Large,REP,1049663
2023-W45,Medium,DEM,764744
2023-W45,Medium,REP,227180
2023-W45,Small,DEM,144448
2023-W45,Small,REP,143710
2023-W46,Large,DEM,1453848
2023-W46,Large,REP,639538
2023-W46,Medium,DEM,287619
2023-W46,Medium,REP,204645
2023-W46,Small,DEM,150391
2023-W46,Small,REP,145191
2023-W47,Large,DEM,942952
2023-W47,Large,REP,912040
2023-W47,Medium,DEM,227187
2023-W47,Medium,REP,147142
2023-W47,Small,DEM,127270
2023-W47,Small,REP,103007
2023-W48,Large,DEM,2026906
2023-W48,Large,REP,876764
2023-W48,Medium,DEM,409479
2023-W48,Medium,REP,245107
2023-W48,Small,DEM,220625
2023-W48,Small,REP,203163
2023-W49,Large,DEM,1844092
2023-W49,Large,REP,819659
2023-W49,Medium,DEM,325919
2023-W49,Medium,REP,218219
2023-W49,Small,DEM,201898
2023-W49,Small,REP,164418
2023-W50,Large,DEM,1946487
2023-W50,Large,REP,774805
2023-W50,Medium,DEM,394404
2023-W50,Medium,REP,204352
2023-W50,Small,DEM,199099
2023-W50,Small,REP,114733
2023-W51,Large,DEM,2255974
2023-W51,Large,REP,986271
2023-W51,Medium,DEM,329063
2023-W51,Medium,REP,206360
2023-W51,Small,DEM,181527
2023-W51,Small,REP,145699
2023-W52,Large,DEM,2519543
2023-W52,Large,REP,1502308
2023-W52,Medium,DEM,600207
2023-W52,Medium,REP,277356
2023-W52,Small,DEM,292878
2023-W52,Small,REP,180776
2024-W01,Large,DEM,1868308
2024-W01,Large,REP,815549
2024-W01,Medium,DEM,498054
2024-W01,Medium,REP,128846
2024-W01,Small,DEM,260948
2024-W01,Small,REP,101143
2024-W02,Large,DEM,1301937
2024-W02,Large,REP,642220
2024-W02,Medium,DEM,336855
2024-W02,Medium,REP,167895
2024-W02,Small,DEM,143635
2024-W02,Small,REP,166483
2024-W03,Large,DEM,1359490
2024-W03,Large,REP,576697
2024-W03,Medium,DEM,339817
2024-W03,Medium,REP,139758
2024-W03,Small,DEM,208803
2024-W03,Small,REP,137122
2024-W04,Large,DEM,1858319
2024-W04,Large,REP,867703
2024-W04,Medium,DEM,376909
2024-W04,Medium,REP,210957
2024-W04,Small,DEM,232347
2024-W04,Small,REP,161668
2024-W05,Large,DEM,1876151
2024-W05,Large,REP,640173
2024-W05,Medium,DEM,530300
2024-W05,Medium,REP,202129
2024-W05,Small,DEM,280058
2024-W05,Small,REP,124408
2024-W06,Large,DEM,2206206
2024-W06,Large,REP,869542
2024-W06,Medium,DEM,536083
2024-W06,Medium,REP,203292
2024-W06,Small,DEM,261762
2024-W06,Small,REP,128086
2024-W07,Large,DEM,1759042
2024-W07,Large,REP,1153188
2024-W07,Medium,DEM,430297
2024-W07,Medium,REP,284896
2024-W07,Small,DEM,246653
2024-W07,Small,REP,177968
2024-W08,Large,DEM,2004914
2024-W08,Large,REP,1015464
2024-W08,Medium,DEM,415089
2024-W08,Medium,REP,211548
2024-W08,Small,DEM,187238
2024-W08,Small,REP,130274
2024-W09,Large,DEM,2614801
2024-W09,Large,REP,995828
2024-W09,Medium,DEM,621268
2024-W09,Medium,REP,271932
2024-W09,Small,DEM,327990
2024-W09,Small,REP,189484
2024-W10,Large,DEM,3452050
2024-W10,Large,REP,1520063
2024-W10,Medium,DEM,1005895
2024-W10,Medium,REP,196565
2024-W10,Small,DEM,482690
2024-W10,Small,REP,141696
2024-W11,Large,DEM,2316882
2024-W11,Large,REP,825680
2024-W11,Medium,DEM,550211
2024-W11,Medium,REP,209033
2024-W11,Small,DEM,272177
2024-W11,Small,REP,150993
2024-W12,Large,DEM,2637206
2024-W12,Large,REP,1100435
2024-W12,Medium,DEM,575387
2024-W12,Medium,REP,212921
2024-W12,Small,DEM,268723
2024-W12,Small,REP,120499
2024-W13,Large,DEM,4606651
2024-W13,Large,REP,1856534
2024-W13,Medium,DEM,1014861
2024-W13,Medium,REP,363843
2024-W13,Small,DEM,520326
2024-W13,Small,REP,185761
2024-W14,Large,DEM,1759032
2024-W14,Large,REP,572885
2024-W14,Medium,DEM,431881
2024-W14,Medium,REP,158447
2024-W14,Small,DEM,265003
2024-W14,Small,REP,125445
2024-W15,Large,DEM,1941055
2024-W15,Large,REP,741917
2024-W15,Medium,DEM,472425
2024-W15,Medium,REP,171930
2024-W15,Small,DEM,302988
2024-W15,Small,REP,165211
2024-W16,Large,DEM,2262404
2024-W16,Large,REP,755132
2024-W16,Medium,DEM,524906
2024-W16,Medium,REP,189971
2024-W16,Small,DEM,228676
2024-W16,Small,REP,157456
2024-W17,Large,DEM,2372450
2024-W17,Large,REP,754528
2024-W17,Medium,DEM,580860
2024-W17,Medium,REP,221615
2024-W17,Small,DEM,301611
2024-W17,Small,REP,154577
2024-W18,Large,DEM,2518975
2024-W18,Large,REP,819173
2024-W18,Medium,DEM,644492
2024-W18,Medium,REP,259318
2024-W18,Small,DEM,344363
2024-W18,Small,REP,177144
2024-W19,Large,DEM,2027371
2024-W19,Large,REP,632413
2024-W19,Medium,DEM,506443
2024-W19,Medium,REP,172294
2024-W19,Small,DEM,247745
2024-W19,Small,REP,99816
2024-W20,Large,DEM,2314959
2024-W20,Large,REP,911531
2024-W20,Medium,DEM,590068
2024-W20,Medium,REP,223215
2024-W20,Small,DEM,309351
2024-W20,Small,REP,147027
2024-W21,Large,DEM,2256348
2024-W21,Large,REP,1190117
2024-W21,Medium,DEM,602316
2024-W21,Medium,REP,253484
2024-W21,Small,DEM,293033
2024-W21,Small,REP,160693
2024-W22,Large,DEM,2576093
2024-W22,Large,REP,993191
2024-W22,Medium,DEM,1007971
2024-W22,Medium,REP,188968
2024-W22,Small,DEM,566188
2024-W22,Small,REP,152235
2024-W23,Large,DEM,3006862
2024-W23,Large,REP,1236541
2024-W23,Medium,DEM,745550
2024-W23,Medium,REP,255705
2024-W23,Small,DEM,325503
2024-W23,Small,REP,204647
2024-W24,Large,DEM,2872161
2024-W24,Large,REP,977460
2024-W24,Medium,DEM,741199
2024-W24,Medium,REP,296213
2024-W24,Small,DEM,395490
2024-W24,Small,REP,170496
2024-W25,Large,DEM,3260284
2024-W25,Large,REP,1013784
2024-W25,Medium,DEM,920571
2024-W25,Medium,REP,251083
2024-W25,Small,DEM,417395
2024-W25,Small,REP,157157
2024-W26,Large,DEM,7160765
2024-W26,Large,REP,1493826
2024-W26,Medium,DEM,1975445
2024-W26,Medium,REP,399852
2024-W26,Small,DEM,958110
2024-W26,Small,REP,273416
2024-W27,Large,DEM,2465331
2024-W27,Large,REP,719914
2024-W27,Medium,DEM,735676
2024-W27,Medium,REP,245304
2024-W27,Small,DEM,386549
2024-W27,Small,REP,159629
2024-W28,Large,DEM,2557243
